到 701526 
刳 1 
制 349782 
刷 13826 
券 16278 
刹 2741 
刺 11973 
刻 38343 
刽 22 
剀 3 
剁 381 
剂 9772 
剃 439 
削 2752 
剌 20 
前 432282 
剐 320 
剑 8938 
剔 1038 
剖 2477 
剜 20 
剡 21 
剥 3067 
剧 46650 
剩 12195 
剪 4336 
副 103057 
割 4944 
剽 111 
剿 440 
劈 429 
劓 1 
力 460171 
劝 7945 
办 235398 
功 83313 
加 386121 
务 422477 
劢 4 
劣 7813 
动 585505 
助 125988 
努 34334 
劫 8286 
劬 25 
劭 96 
励 38198 
劲 11515 
劳 33609 
劾 747 
势 101800 
勃 4763 
勇 26349 
勉 3190 
勋 2345 
勐 250 
勒 10907 
勖 100 
勘 4281 
募 9277 
勤 18220 
勰 6 
勺 610 
勾 2844 
勿 2342 
匀 1118 
包 114218 
匆 3014 
匈 1212 
匍 106 
匏 6 
匐 106 
匕 328 
化 453461 
北 240188 
匙 2522 
匝 946 
匠 6612 
匡 738 
匣 571 
匪 1975 
匮 848 
匹 5176 
区 578211 
医 201525 
匾 638 
匿 2070 
十 177430 
千 50904 
卅 30 
升 127679 
午 86917 
卉 2347 
半 66251 
华 218621 
协 140734 
卑 991 
卒 674 
卓 6282 
单 160349 
卖 45649 
南 325947 
博 66347 
卜 2903 
卞 393 
卟 10 
占 55627 
卡 68937 
卢 9781 
卣 9 
卤 655 
卦 715 
卧 4054 
卫 75357 
卮 1 
卯 265 
印 44633 
危 38231 
即 83470 
却 50654 
卵 1455 
卷 16510 
卸 3104 
卺 15 
卿 2909 
厂 34312 
厄 2782 
厅 51334 
历 87748 
厉 7694 
压 47228 
厌 1564 
厍 2 
厕 5708 
厘 5831 
厚 17492 
厝 291 
原 390600 
厢 4096 
厥 477 
厦 11725 
厨 8446 
厩 24 
厮 424 
去 207086 
县 167824 
叁 185 
参 146177 
又 82809 
叉 3378 
及 273791 
友 103443 
双 82276 
反 114386 
发 917990 
叔 5496 
取 161925 
受 224139 
变 117847 
叙 11734 
叛 1227 
叟 59 
叠 4268 
口 177673 
古 53252 
句 13355 
另 50547 
叨 557 
叩 281 
只 133240 
叫 20665 
召 41147 
叭 861 
叮 2142 
可 379524 
台 241182 
叱 125 
史 66701 
右 40300 
叵 54 
叶 19886 
号 120517 
司 242889 
叹 4581 
叻 88 
叼 123 
叽 145 
吁 8430 
吃 49996 
各 225195 
吆 387 
合 443975 
吉 26404 
吊 5386 
同 396619 
名 326852 
后 478125 
吏 471 
吐 6382 
向 231364 
吒 57 
吓 4821 
吕 6364 
吖 15 
吗 21344 
君 10905 
吝 287 
吞 3219 
吟 809 
吠 87 
吡 37 
否 45902 
吧 18293 
吨 13373 
吩 82 
含 33139 
听 51029 
吭 163 
吮 108 
启 60423 
吱 214 
吲 11 
吴 33156 
吵 3659 
吸 43456 
吹 6247 
吻 2172 
吼 636 
吾 2205 
呀 1920 
呃 44 
呆 2960 
呈 16098 
告 161633 
呋 69 
呐 1031 
呓 15 
呔 2 
呕 1100 
呖 2 
呗 393 
员 425097 
呙 29 
呛 565 
呜 184 
呢 17659 
呤 68 
呦 729 
周 131864 
呱 498 
呲 33 
味 38718 
呵 2390 
呷 103 
呸 10 
呻 138 
呼 26974 
命 66643 
咀 674 
咂 52 
咄 253 
咆 126 
咋 2239 
和 972688 
咎 905 
咏 1385 
咐 588 
咒 868 
咔 178 
咕 601 
咖 5484 
咙 328 
咚 582 
咛 65 
咝 2 
咣 75 
咤 97 
咦 108 
咧 453 
咨 17436 
咩 49 
咪 1205 
咫 220 
咬 4559 
咭 31 
咯 395 
咱 1965 
咳 1396 
咸 10243 
咻 271 
咽 1793 
咿 106 
哀 2563 
品 325593 
哂 7 
哄 1352 
哆 544 
哇 670 
哈 21424 
哉 299 
哌 13 
响 90024 
哎 360 
哏 27 
哐 90 
哑 1209 
哒 827 
哓 1 
哔 38 
哗 962 
哙 5 
哚 26 
哝 18 
哞 5 
哟 421 
哥 19280 
哦 1926 
哧 81 
哨 1431 
哩 173 
哪 30382 
哭 6672 
哮 659 
哲 7277 
哳 1 
哺 1206 
哼 307 
哽 504 
唁 263 
唆 322 
唇 1281 
唉 150 
唏 338 
唐 19500 
唑 137 
唔 83 
唛 59 
唠 444 
唢 336 
唤 3976 
唧 45 
唬 357 
售 65121 
唯 15131 
唰 34 
唱 16936 
唳 36 
唷 3 
唾 338 
唿 2 
啁 10 
啃 1568 
啄 215 
商 261569 
啉 61 
啊 7693 
啐 1 
啕 139 
啖 100 
啜 59 
啡 3557 
啤 3807 
啥 5355 
啦 5222 
啧 250 
啪 492 
啬 131 
啭 4 
啮 37 
啵 17 
